A,B,BitWidth,Exact,Truncated,Simplified,Reduced,Stochastic,AbsError_Truncated,RelError_Truncated,AbsError_Simplified,RelError_Simplified,AbsError_Reduced,RelError_Reduced,AbsError_Stochastic,RelError_Stochastic
1,12,4,13,12,13,13,10,1,0.07692307692307693,0,0.0,0,0.0,3,0.23076923076923078
1,12,4,13,12,13,13,11,1,0.07692307692307693,0,0.0,0,0.0,2,0.15384615384615385
1,13,4,14,12,13,14,6,2,0.14285714285714285,1,0.07142857142857142,0,0.0,8,0.5714285714285714
1,13,4,14,12,13,14,12,2,0.14285714285714285,1,0.07142857142857142,0,0.0,2,0.14285714285714285
1,14,4,15,12,15,15,7,3,0.2,0,0.0,0,0.0,8,0.5333333333333333
1,14,4,15,12,15,15,0,3,0.2,0,0.0,0,0.0,15,1.0
1,15,4,0,12,15,12,1,12,12.0,15,15.0,12,12.0,1,1.0
1,15,4,0,12,15,12,4,12,12.0,15,15.0,12,12.0,4,4.0
2,0,4,2,0,2,2,13,2,1.0,0,0.0,0,0.0,11,5.5
2,0,4,2,0,2,2,9,2,1.0,0,0.0,0,0.0,7,3.5
2,1,4,3,0,3,3,6,3,1.0,0,0.0,0,0.0,3,1.0
2,1,4,3,0,3,3,6,3,1.0,0,0.0,0,0.0,3,1.0
2,2,4,4,0,2,0,11,4,1.0,2,0.5,4,1.0,7,1.75
2,2,4,4,0,2,0,4,4,1.0,2,0.5,4,1.0,0,0.0
2,3,4,5,0,3,1,1,5,1.0,2,0.4,4,0.8,4,0.8
2,3,4,5,0,3,1,0,5,1.0,2,0.4,4,0.8,5,1.0
2,4,4,6,4,6,6,4,2,0.3333333333333333,0,0.0,0,0.0,2,0.3333333333333333
2,4,4,6,4,6,6,9,2,0.3333333333333333,0,0.0,0,0.0,3,0.5
2,5,4,7,4,7,7,6,3,0.42857142857142855,0,0.0,0,0.0,1,0.14285714285714285
2,5,4,7,4,7,7,9,3,0.42857142857142855,0,0.0,0,0.0,2,0.2857142857142857
2,6,4,8,4,6,4,4,4,0.5,2,0.25,4,0.5,4,0.5
2,6,4,8,4,6,4,10,4,0.5,2,0.25,4,0.5,2,0.25
2,7,4,9,4,7,5,2,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,7,0.7777777777777778
2,7,4,9,4,7,5,4,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,5,0.5555555555555556
2,8,4,10,8,10,10,7,2,0.2,0,0.0,0,0.0,3,0.3
2,8,4,10,8,10,10,11,2,0.2,0,0.0,0,0.0,1,0.1
2,9,4,11,8,11,11,12,3,0.2727272727272727,0,0.0,0,0.0,1,0.09090909090909091
2,9,4,11,8,11,11,3,3,0.2727272727272727,0,0.0,0,0.0,8,0.7272727272727273
2,10,4,12,8,10,8,15,4,0.3333333333333333,2,0.16666666666666666,4,0.3333333333333333,3,0.25
2,10,4,12,8,10,8,5,4,0.3333333333333333,2,0.16666666666666666,4,0.3333333333333333,7,0.5833333333333334
2,11,4,13,8,11,9,3,5,0.38461538461538464,2,0.15384615384615385,4,0.3076923076923077,10,0.7692307692307693
2,11,4,13,8,11,9,2,5,0.38461538461538464,2,0.15384615384615385,4,0.3076923076923077,11,0.8461538461538461
2,12,4,14,12,14,14,12,2,0.14285714285714285,0,0.0,0,0.0,2,0.14285714285714285
2,12,4,14,12,14,14,5,2,0.14285714285714285,0,0.0,0,0.0,9,0.6428571428571429
2,13,4,15,12,15,15,2,3,0.2,0,0.0,0,0.0,13,0.8666666666666667
2,13,4,15,12,15,15,5,3,0.2,0,0.0,0,0.0,10,0.6666666666666666
2,14,4,0,12,14,12,3,12,12.0,14,14.0,12,12.0,3,3.0
2,14,4,0,12,14,12,14,12,12.0,14,14.0,12,12.0,14,14.0
2,15,4,1,12,15,13,14,11,11.0,14,14.0,12,12.0,13,13.0
2,15,4,1,12,15,13,14,11,11.0,14,14.0,12,12.0,13,13.0
3,0,4,3,0,3,3,4,3,1.0,0,0.0,0,0.0,1,0.3333333333333333
3,0,4,3,0,3,3,10,3,1.0,0,0.0,0,0.0,7,2.3333333333333335
3,1,4,4,0,3,0,11,4,1.0,1,0.25,4,1.0,7,1.75
3,1,4,4,0,3,0,11,4,1.0,1,0.25,4,1.0,7,1.75
3,2,4,5,0,3,1,6,5,1.0,2,0.4,4,0.8,1,0.2
3,2,4,5,0,3,1,10,5,1.0,2,0.4,4,0.8,5,1.0
3,3,4,6,0,3,2,9,6,1.0,3,0.5,4,0.6666666666666666,3,0.5
3,3,4,6,0,3,2,2,6,1.0,3,0.5,4,0.6666666666666666,4,0.6666666666666666
3,4,4,7,4,7,7,9,3,0.42857142857142855,0,0.0,0,0.0,2,0.2857142857142857
3,4,4,7,4,7,7,15,3,0.42857142857142855,0,0.0,0,0.0,8,1.1428571428571428
3,5,4,8,4,7,4,0,4,0.5,1,0.125,4,0.5,8,1.0
3,5,4,8,4,7,4,10,4,0.5,1,0.125,4,0.5,2,0.25
3,6,4,9,4,7,5,11,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,2,0.2222222222222222
3,6,4,9,4,7,5,9,5,0.5555555555555556,2,0.2222222222222222,4,0.4444444444444444,0,0.0
3,7,4,10,4,7,6,2,6,0.6,3,0.3,4,0.4,8,0.8
3,7,4,10,4,7,6,10,6,0.6,3,0.3,4,0.4,0,0.0
3,8,4,11,8,11,11,14,3,0.2727272727272727,0,0.0,0,0.0,3,0.2727272727272727
3,8,4,11,8,11,11,14,3,0.2727272727272727,0,0.0,0,0.0,3,0.2727272727272727
3,9,4,12,8,11,8,15,4,0.3333333333333333,1,0.08333333333333333,4,0.3333333333333333,3,0.25
3,9,4,12,8,11,8,10,4,0.3333333333333333,1,0.08333333333333333,4,0.3333333333333333,2,0.16666666666666666
3,10,4,13,8,11,9,3,5,0.38461538461538464,2,0.15384615384615385,4,0.3076923076923077,10,0.7692307692307693
3,10,4,13,8,11,9,3,5,0.38461538461538464,2,0.15384615384615385,4,0.3076923076923077,10,0.7692307692307693
3,11,4,14,8,11,10,3,6,0.42857142857142855,3,0.21428571428571427,4,0.2857142857142857,11,0.7857142857142857
3,11,4,14,8,11,10,11,6,0.42857142857142855,3,0.21428571428571427,4,0.2857142857142857,3,0.21428571428571427
3,12,4,15,12,15,15,2,3,0.2,0,0.0,0,0.0,13,0.8666666666666667
3,12,4,15,12,15,15,10,3,0.2,0,0.0,0,0.0,5,0.3333333333333333
3,13,4,0,12,15,12,4,12,12.0,15,15.0,12,12.0,4,4.0
3,13,4,0,12,15,12,15,12,12.0,15,15.0,12,12.0,15,15.0
3,14,4,1,12,15,13,12,11,11.0,14,14.0,12,12.0,11,11.0
3,14,4,1,12,15,13,13,11,11.0,14,14.0,12,12.0,12,12.0
3,15,4,2,12,15,14,5,10,5.0,13,6.5,12,6.0,3,1.5
3,15,4,2,12,15,14,2,10,5.0,13,6.5,12,6.0,0,0.0
4,0,4,4,4,4,4,6,0,0.0,0,0.0,0,0.0,2,0.5
4,0,4,4,4,4,4,3,0,0.0,0,0.0,0,0.0,1,0.25
4,1,4,5,4,5,5,10,1,0.2,0,0.0,0,0.0,5,1.0
4,1,4,5,4,5,5,1,1,0.2,0,0.0,0,0.0,4,0.8
4,2,4,6,4,6,6,3,2,0.3333333333333333,0,0.0,0,0.0,3,0.5
4,2,4,6,4,6,6,0,2,0.3333333333333333,0,0.0,0,0.0,6,1.0
4,3,4,7,4,7,7,2,3,0.42857142857142855,0,0.0,0,0.0,5,0.7142857142857143
4,3,4,7,4,7,7,11,3,0.42857142857142855,0,0.0,0,0.0,4,0.5714285714285714
4,4,4,8,8,4,0,13,0,0.0,4,0.5,8,1.0,5,0.625
4,4,4,8,8,4,0,10,0,0.0,4,0.5,8,1.0,2,0.25
4,5,4,9,8,5,1,10,1,0.1111111111111111,4,0.4444444444444444,8,0.8888888888888888,1,0.1111111111111111
4,5,4,9,8,5,1,0,1,0.1111111111111111,4,0.4444444444444444,8,0.8888888888888888,9,1.0
